Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): Bentonville, Arkansas, USA
Station Name: -
Latitude: 36.3719 Degree
Longitude: -94.2027 Degree
Elevation (USGS): 1279 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 4.80,5.50,6.62,7.57,8.90,9.94,11.0,12.0,13.5,14.6
10-min:, 3.52,4.02,4.85,5.54,6.52,7.27,8.03,8.82,9.86,10.7
15-min:, 2.86,3.27,3.94,4.51,5.30,5.91,6.53,7.17,8.02,8.67
30-min:, 2.06,2.36,2.86,3.28,3.87,4.33,4.79,5.27,5.91,6.40
60-min:, 1.36,1.56,1.91,2.21,2.65,2.99,3.35,3.72,4.24,4.64
2-hr:, 0.843,0.973,1.20,1.39,1.68,1.91,2.15,2.41,2.76,3.04
3-hr:, 0.635,0.732,0.902,1.05,1.28,1.46,1.66,1.86,2.16,2.39
6-hr:, 0.391,0.446,0.544,0.633,0.767,0.879,1.000,1.13,1.31,1.46
12-hr:, 0.236,0.265,0.318,0.365,0.437,0.498,0.563,0.634,0.734,0.815
24-hr:, 0.140,0.158,0.189,0.216,0.256,0.289,0.324,0.362,0.414,0.455
2-day:, 0.080,0.092,0.112,0.130,0.154,0.173,0.193,0.214,0.242,0.264
3-day:, 0.059,0.067,0.082,0.094,0.112,0.126,0.141,0.156,0.177,0.193
4-day:, 0.047,0.054,0.065,0.075,0.089,0.100,0.112,0.123,0.140,0.152
7-day:, 0.032,0.036,0.043,0.049,0.057,0.063,0.070,0.077,0.087,0.094
10-day:, 0.026,0.029,0.033,0.038,0.044,0.048,0.053,0.058,0.065,0.070
20-day:, 0.017,0.019,0.022,0.024,0.028,0.031,0.033,0.036,0.040,0.043
30-day:, 0.014,0.015,0.018,0.020,0.022,0.024,0.026,0.029,0.031,0.033
45-day:, 0.011,0.012,0.014,0.016,0.018,0.020,0.021,0.023,0.025,0.027
60-day:, 0.010,0.011,0.013,0.014,0.016,0.017,0.019,0.020,0.022,0.023

Date/time (GMT):  Wed Dec 31 21:45:44 2025
pyRunTime:  0.024559974670410156
