id,type,from_node,to_node,shape,diameter,width,height,length,slope,manning_n,material,cross_slope,long_slope
111+64 LT_to_111+65 RT,pipe,111+64 LT,111+65 RT,circular,18,,,28,0.018928571428570455,0.013,RCP,,
112+35 LT_to_112+35 RT,pipe,112+35 LT,112+35 RT,circular,18,,,28,0.173571428571425,0.013,RCP,,
112+35 RT_to_111+65 RT,pipe,112+35 RT,111+65 RT,circular,18,,,67,0.010000000000001086,0.013,RCP,,
113+00 RT_to_112+35 RT,pipe,113+00 RT,112+35 RT,circular,18,,,61,0.00999999999999836,0.013,RCP,,
113+78 LT_to_208+65 RT,pipe,113+78 LT,208+65 RT,circular,18,,,35,0.007142857142857143,0.013,RCP,,
115+24 LT_to_207+99 LT,pipe,115+24 LT,207+99 LT,circular,18,,,24,0.01916666666665871,0.013,RCP,,
115+42 LT_to_115+24 LT,pipe,115+42 LT,115+24 LT,circular,18,,,17,0.1011764705882369,0.013,RCP,,
115+66 LT_to_115+24 LT,pipe,115+66 LT,115+24 LT,circular,18,,,52,0.019807692307696155,0.013,RCP,,
115+90 RT_to_210+00 LT,pipe,115+90 RT,210+00 LT,circular,36,,,21,0.046666666666656705,0.013,RCP,,
116+00 RT_to_115+90 RT,pipe,116+00 RT,115+90 RT,circular,36,,,6,0.011666666666693951,0.013,RCP,,
116+25 LT_to_115+66 LT,pipe,116+25 LT,115+66 LT,circular,18,,,57,0.02070175438596204,0.013,RCP,,
117+85 RT_to_116+00 RT,pipe,117+85 RT,116+00 RT,circular,36,,,181,0.012983425414364138,0.013,RCP,,
118+25 LT_to_116+25 LT,pipe,118+25 LT,116+25 LT,circular,18,,,196,0.020255102040816465,0.013,RCP,,
120+50 LT_to_118+25 LT,pipe,120+50 LT,118+25 LT,circular,18,,,221,0.033438914027149776,0.013,RCP,,
120+50 RT_to_117+85 RT,pipe,120+50 RT,117+85 RT,circular,18,,,261,0.03915708812260547,0.013,RCP,,
122+11 RT_to_120+50 RT,pipe,122+11 RT,120+50 RT,circular,18,,,191,0.009109947643979105,0.013,RCP,,
124+50 LT_to_120+50 LT,pipe,124+50 LT,120+50 LT,circular,18,,,396,0.007752525252525092,0.013,RCP,,
200+19 LT_to_200+19 RT,pipe,200+19 LT,200+19 RT,circular,18,,,61,0.07245901639344009,0.013,RCP,,
