id,area,runoff_coef,time_of_conc,outlet_node,land_use,design_storm
DA_111+64 LT,0.05,0.8,5.0,111+64 LT,Commercial,
DA_112+35 LT,0.05,0.8,5.0,112+35 LT,Commercial,
DA_112+35 RT,0.12052341597796143,0.8,5.0,112+35 RT,Commercial,
DA_113+00 RT,0.1119146005509642,0.8,5.0,113+00 RT,Commercial,
DA_113+78 LT,0.1,0.8,5.0,113+78 LT,Commercial,
DA_115+24 LT,0.1,0.8,5.0,115+24 LT,Commercial,
DA_115+42 LT,0.05,0.8,5.0,115+42 LT,Commercial,
DA_115+66 LT,0.07231404958677685,0.8,5.0,115+66 LT,Commercial,
DA_115+90 RT,0.1,0.8,5.0,115+90 RT,Commercial,
DA_116+00 RT,0.05,0.8,5.0,116+00 RT,Commercial,
DA_116+25 LT,0.10158402203856749,0.8,5.0,116+25 LT,Commercial,
DA_117+85 RT,0.31852617079889806,0.8,7.852812659593164,117+85 RT,Commercial,
DA_118+25 LT,0.3443526170798898,0.8,8.16496580927726,118+25 LT,Commercial,
DA_120+50 LT,0.38739669421487605,0.8,8.660254037844387,120+50 LT,Commercial,
DA_120+50 RT,0.456267217630854,0.8,9.39858145324779,120+50 RT,Commercial,
DA_122+11 RT,0.2772038567493113,0.8,7.32575365861197,122+11 RT,Commercial,
DA_124+50 LT,0.6887052341597796,0.8,11.547005383792515,124+50 LT,Commercial,
DA_200+19 LT,0.05,0.8,5.0,200+19 LT,Commercial,
DA_200+19 RT,0.05,0.8,5.0,200+19 RT,Commercial,
DA_203+48 LT,0.05,0.8,5.0,203+48 LT,Commercial,
DA_203+48 RT,0.05,0.8,5.0,203+48 RT,Commercial,
DA_204+09 RT,0.1050275482093664,0.8,5.0,204+09 RT,Commercial,
DA_204+20 LT,0.12396694214876033,0.8,5.0,204+20 LT,Commercial,
DA_204+30 LT,0.05,0.8,5.0,204+30 LT,Commercial,
DA_204+62 LT,0.05509641873278237,0.8,5.0,204+62 LT,Commercial,
DA_204+67 RT,0.09986225895316804,0.8,5.0,204+67 RT,Commercial,
DA_206+53 RT,0.3202479338842975,0.8,7.874007874011811,206+53 RT,Commercial,
DA_206+55 LT,0.3323002754820937,0.8,8.020806277010642,206+55 LT,Commercial,
DA_207+99 LT,0.24793388429752067,0.8,6.92820323027551,207+99 LT,Commercial,
DA_208+17 RT,0.28236914600550966,0.8,7.393691004272946,208+17 RT,Commercial,
DA_208+17 RT,0.29097796143250687,0.8,7.505553499465135,208+17 RT,Commercial,
DA_208+65 RT,0.08264462809917356,0.8,5.0,208+65 RT,Commercial,
DA_208+98 LT,0.17045454545454544,0.8,5.744562646538029,208+98 LT,Commercial,
DA_209+02 LT,0.05,0.8,5.0,209+02 LT,Commercial,
DA_209+81 LT,0.13601928374655647,0.8,5.131601439446884,209+81 LT,Commercial,
DA_210+00 LT,0.1756198347107438,0.8,5.830951894845301,210+00 LT,Commercial,
DA_210+51 LT,0.0878099173553719,0.8,5.0,210+51 LT,Commercial,
DA_210+60 RT,0.3357438016528926,0.8,8.062257748298551,210+60 RT,Commercial,
DA_211+00 LT,0.08436639118457301,0.8,5.0,211+00 LT,Commercial,
DA_212+60 RT,0.3443526170798898,0.8,8.16496580927726,212+60 RT,Commercial,
DA_213+00 LT,0.3443526170798898,0.8,8.16496580927726,213+00 LT,Commercial,
DA_214+50 LT,0.1,0.8,5.0,214+50 LT,Commercial,
DA_214+60 RT,0.3443526170798898,0.8,8.16496580927726,214+60 RT,Commercial,
DA_215+00 LT,0.08608815426997245,0.8,5.0,215+00 LT,Commercial,
DA_216+90 RT,0.05,0.8,5.0,216+90 RT,Commercial,
DA_218+00 LT,0.05,0.8,5.0,218+00 LT,Commercial,
DA_218+03 LT,0.05,0.8,5.0,218+03 LT,Commercial,
DA_218+06 LT,0.05,0.8,5.0,218+06 LT,Commercial,
DA_218+06 RT,0.19972451790633608,0.8,6.2182527020592095,218+06 RT,Commercial,
DA_219+10 LT,0.1790633608815427,0.8,5.887840577551898,219+10 LT,Commercial,
DA_219+10 RT,0.1790633608815427,0.8,5.887840577551898,219+10 RT,Commercial,
DA_219+20 LT,0.05,0.8,5.0,219+20 LT,Commercial,
DA_219+20 RT,0.05,0.8,5.0,219+20 RT,Commercial,
DA_219+30 LT,0.05,0.8,5.0,219+30 LT,Commercial,
DA_219+30 RT,0.05,0.8,5.0,219+30 RT,Commercial,
DA_220+06 RT,0.05,0.8,5.0,220+06 RT,Commercial,
DA_220+08 LT,0.13429752066115702,0.8,5.0990195135927845,220+08 LT,Commercial,
DA_220+81 LT,0.1256887052341598,0.8,5.0,220+81 LT,Commercial,
DA_413+00 LT,0.05,0.8,5.0,413+00 LT,Commercial,
DA_413+25 LT,0.05,0.8,5.0,413+25 LT,Commercial,
DA_413+36 @ 11' LT,0.05,0.8,5.0,413+36 @ 11' LT,Commercial,
DA_413+36 @ 23' LT,0.05,0.8,5.0,413+36 @ 23' LT,Commercial,
DA_413+36 RT,0.1,0.8,5.0,413+36 RT,Commercial,
