return_period,duration,intensity
1,5,4.8
1,10,3.52
1,15,2.86
1,30,2.06
1,60,1.36
1,120,0.843
1,180,0.635
1,360,0.391
1,720,0.236
1,1440,0.14
1,2880,0.08
1,4320,0.059
1,5760,0.047
1,10080,0.032
1,14400,0.026
1,28800,0.017
1,43200,0.014
1,64800,0.011
1,86400,0.01
2,5,5.5
2,10,4.02
2,15,3.27
2,30,2.36
2,60,1.56
2,120,0.973
2,180,0.732
2,360,0.446
2,720,0.265
2,1440,0.158
2,2880,0.092
2,4320,0.067
2,5760,0.054
2,10080,0.036
2,14400,0.029
2,28800,0.019
2,43200,0.015
2,64800,0.012
2,86400,0.011
5,5,6.62
5,10,4.85
5,15,3.94
5,30,2.86
5,60,1.91
5,120,1.2
5,180,0.902
5,360,0.544
5,720,0.318
5,1440,0.189
5,2880,0.112
5,4320,0.082
5,5760,0.065
5,10080,0.043
5,14400,0.033
5,28800,0.022
5,43200,0.018
5,64800,0.014
5,86400,0.013
10,5,7.57
10,10,5.54
10,15,4.51
10,30,3.28
10,60,2.21
10,120,1.39
10,180,1.05
10,360,0.633
10,720,0.365
10,1440,0.216
10,2880,0.13
10,4320,0.094
10,5760,0.075
10,10080,0.049
10,14400,0.038
10,28800,0.024
10,43200,0.02
10,64800,0.016
10,86400,0.014
25,5,8.9
25,10,6.52
25,15,5.3
25,30,3.87
25,60,2.65
25,120,1.68
25,180,1.28
25,360,0.767
25,720,0.437
25,1440,0.256
25,2880,0.154
25,4320,0.112
25,5760,0.089
25,10080,0.057
25,14400,0.044
25,28800,0.028
25,43200,0.022
25,64800,0.018
25,86400,0.016
50,5,9.94
50,10,7.27
50,15,5.91
50,30,4.33
50,60,2.99
50,120,1.91
50,180,1.46
50,360,0.879
50,720,0.498
50,1440,0.289
50,2880,0.173
50,4320,0.126
50,5760,0.1
50,10080,0.063
50,14400,0.048
50,28800,0.031
50,43200,0.024
50,64800,0.02
50,86400,0.017
100,5,11.0
100,10,8.03
100,15,6.53
100,30,4.79
100,60,3.35
100,120,2.15
100,180,1.66
100,360,1.0
100,720,0.563
100,1440,0.324
100,2880,0.193
100,4320,0.141
100,5760,0.112
100,10080,0.07
100,14400,0.053
100,28800,0.033
100,43200,0.026
100,64800,0.021
100,86400,0.019
200,5,12.0
200,10,8.82
200,15,7.17
200,30,5.27
200,60,3.72
200,120,2.41
200,180,1.86
200,360,1.13
200,720,0.634
200,1440,0.362
200,2880,0.214
200,4320,0.156
200,5760,0.123
200,10080,0.077
200,14400,0.058
200,28800,0.036
200,43200,0.029
200,64800,0.023
200,86400,0.02
500,5,13.5
500,10,9.86
500,15,8.02
500,30,5.91
500,60,4.24
500,120,2.76
500,180,2.16
500,360,1.31
500,720,0.734
500,1440,0.414
500,2880,0.242
500,4320,0.177
500,5760,0.14
500,10080,0.087
500,14400,0.065
500,28800,0.04
500,43200,0.031
500,64800,0.025
500,86400,0.022
1000,5,14.6
1000,10,10.7
1000,15,8.67
1000,30,6.4
1000,60,4.64
1000,120,3.04
1000,180,2.39
1000,360,1.46
1000,720,0.815
1000,1440,0.455
1000,2880,0.264
1000,4320,0.193
1000,5760,0.152
1000,10080,0.094
1000,14400,0.07
1000,28800,0.043
1000,43200,0.033
1000,64800,0.027
1000,86400,0.023
