id,type,invert_elev,rim_elev,x,y,shape,diameter,width,height,inlet_type,inlet_location,grate_length,grate_width,bar_configuration,curb_opening_length,curb_opening_height,throat_type,local_depression,clogging_factor,grate_count,boundary_condition,bypass_to
111+64 LT,inlet,1275.0,1280.0,,,,,,,curb,on_grade,,,,,4,,2,0.15,,,
111+65 RT,inlet,1274.47,1279.07,,,,,,,curb,on_grade,,,,,4,,2,0.15,,,
112+35 LT,inlet,1280.0,1276.0,,,,,,,curb,on_grade,,,,,4,,2,0.15,,,111+64 LT
112+35 RT,inlet,1275.14,1279.48,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,111+65 RT
113+00 RT,inlet,1275.75,1279.9,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,112+35 RT
113+78 LT,inlet,1276.0,1280.39,,,,,,,grate,on_grade,3,2,perpendicular,4,,horizontal,,0.15,1,,112+35 LT
115+24 LT,inlet,1274.1,1279.63,,,,,,,curb,on_grade,,,,12,4,horizontal,2,0.15,,,207+99 LT
115+42 LT,inlet,1275.82,1279.4,,,,,,,grate,sag,3,2,perpendicular,4,,horizontal,,0.15,1,,
115+66 LT,inlet,1275.13,1280.24,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,115+24 LT
115+90 RT,inlet,1275.62,1281.03,,,,,,,curb,on_grade,,,,5,4,horizontal,2,0.15,,,115+66 RT
116+00 RT,inlet,1275.69,1281.13,,,,,,,curb,on_grade,,,,5,4,horizontal,2,0.15,,,115+90 RT
116+25 LT,inlet,1276.31,1281.22,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,115+66 LT
117+85 RT,inlet,1278.04,1283.99,,,,,,,curb,on_grade,,,,5,4,horizontal,2,0.15,,,116+00 RT
118+25 LT,inlet,1280.28,1284.45,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,117+85 LT
120+50 LT,inlet,1287.67,1291.59,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,118+25 LT
120+50 RT,inlet,1288.26,1291.94,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,117+85 RT
122+11 RT,inlet,1290.0,1295.0,,,,,,,curb,on_grade,,,,,4,,2,0.15,,,120+50 RT
124+50 LT,inlet,1290.74,1294.35,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,120+50 LT
200+19 LT,inlet,1277.09,1280.64,,,,,,,curb,on_grade,,,,4,4,horizontal,2,0.15,,,203+48 LT
200+19 RT,outfall,1272.67,,,,,,,,,,,,,,,,,,,free,
203+48 LT,inlet,1271.55,1278.44,,,,,,,curb,on_grade,,,,7,4,horizontal,2,0.15,,,204+20 LT
203+48 RT,outfall,1271.2,,,,,,,,,,,,,,,horizontal,,,,free,
